Instrument,Date,Earnings Per Share - Actual,Earnings Per Share - Mean,Earnings Per Share - Actual Surprise,Earnings Per Share – Coefficient of Variation,Market Capitalization,Revenue - Actual,Enterprise Value,Number of Analysts,Recommendation - Mean (1-5),Recommendation - Mean (1-5),"WACC Inflation Adjusted Risk Free Rate, (%)",Net Income after Tax,Price Target - Mean,Price Close,Enterprise Value To Sales (Daily Time Series Ratio)
BA.N,2022-10-26 07:30:00,-6.18,0.07056,-8858.503,430.711451247166,72117908975.16,15956000000.0,115143908975.16,23,1.92593,2.07692,3.747421,-3308000000.0,195.4,121.08,1.94206590018866
BA.N,2022-07-27 07:30:00,-0.37,-0.14013,-164.041,-192.214372368515,81136651482.0,16681000000.0,126985651482.0,20,2.07692,2.13793,3.092855,160000000.0,210.28696,136.72,2.0754282915493
BA.N,2022-04-27 07:30:00,-2.75,-0.2695,-920.408,-105.239332096475,113058697434.5,13991000000.0,158647697434.5,22,2.13793,2.14286,2.325202,-1242000000.0,243.52174,191.5,2.48963968523424
BA.N,2022-01-26 07:30:00,-7.69,-0.42067,-1728.036,-134.537761190482,118315607775.68,14793000000.0,160326607775.68,21,2.14286,2.18519,1.515266,-4161000000.0,258.54167,201.32,2.542279924
BA.N,2021-10-27 07:30:00,-0.6,-0.19813,-202.832,-136.501287033766,129208548791.7,15278000000.0,171806548791.7,20,2.18519,2.46154,1.527139,-132000000.0,265.79167,219.94,2.761158195
FOX.OQ,2022-11-01 08:00:00,1.21,1.14282,5.878,5.59055669309253,16317983803.04,3192000000.0,18831983803.04,23,2.43478,2.45833,3.747421,613000000.0,37.925,28.5,1.32732101066552
FOX.OQ,2022-08-10 08:00:00,0.74,0.75445,-1.915,5.29789913181788,17302199062.74,3033000000.0,19532199062.74,22,2.45833,2.34615,3.092855,308000000.0,42.275,29.7,1.45081332244523
FOX.OQ,2022-05-10 08:00:00,0.81,0.87791,-7.735,11.079723434065,21423212743.52,3455000000.0,24187212743.52,24,2.34615,2.30769,2.325202,290000000.0,46.30435,36.28,1.86220386605254
FOX.OQ,2022-02-09 08:01:00,0.13,0.03285,295.738,202.009132420091,20435627030.91,4441000000.0,24321627030.91,24,2.30769,2.35714,1.515266,-73000000.0,46.65217,34.27,1.758678479
FOX.OQ,2021-11-03 16:05:00,1.11,1.03313,7.441,7.15205250065335,22303009991.34,3045000000.0,25147009991.34,25,2.35714,2.48148,1.527139,708000000.0,44.5,37.12,1.908049422
LIN.N,2022-10-27 06:20:00,3.1,2.93247,5.713,1.35176148434596,133279778031.88,8797000000.0,146172778031.88,19,1.91667,1.95833,3.53384839524641,1257000000.0,346.0,269.59,4.50553956094504
LIN.N,2022-07-28 02:20:00,3.1,2.96267,4.635,1.02238858867171,143295057517.64,8457000000.0,157049057517.64,18,1.95833,2.0,2.94105014823835,360000000.0,355.2,287.53,4.93416635237051
LIN.N,2022-04-28 07:22:00,2.93,2.77594,5.55,1.32855897461761,160763271194.99,8211000000.0,174182271194.99,17,2.0,2.0,2.0884838984078,1166000000.0,369.84211,319.43,5.63612740541649
LIN.N,2022-02-10 06:00:00,2.77,2.67226,3.658,1.52979126282622,177564335460.33,8298000000.0,190354335460.33,19,2.0,2.08696,1.38519634175986,1016000000.0,373.57143,346.43,6.416680736
LIN.N,2021-10-28 06:00:00,2.73,2.659,2.67,1.14103046257992,150373306980.78,7668000000.0,163814306980.78,18,2.08696,1.95652,1.37666313148704,1008000000.0,343.04762,293.38,5.670349761
WY.N,2022-10-27 16:15:00,0.42,0.3734,12.48,13.2297803963578,21289823520.0,2276000000.0,24422823520.0,10,2.41667,2.25,3.747421,310000000.0,37.8,27.80841504,2.31476339977435
WY.N,2022-07-29 03:05:00,1.06,0.9821,7.932,8.39731188270034,24566362560.0,2973000000.0,27896362560.0,10,2.25,1.81818,3.092855,788000000.0,41.4,32.24841408,2.62925534931063
WY.N,2022-04-29 03:05:00,1.31,1.18967,10.115,9.55390990778955,28252251800.0,3112000000.0,32100251800.0,9,1.81818,1.81818,2.325202,771000000.0,44.88889,36.9026236,3.0866828546221
WY.N,2022-01-28 03:05:00,0.49,0.48122,1.825,9.98295997672582,30845673100.0,2206000000.0,34065673100.0,9,1.81818,1.90909,1.515266,416000000.0,44.0,38.709736723,3.357493846
WY.N,2021-10-29 03:05:00,0.6,0.57222,4.855,8.94061724511552,26669816880.0,2345000000.0,29593816880.0,10,1.90909,1.90909,1.527139,482000000.0,41.66667,32.968891512,3.068595834
MCD.N,2022-10-27 07:02:00,2.68,2.57683,4.004,1.7991097588898,168999488840.08,5872100000.0,201037388840.08,30,2.02439,2.05263,3.747421,1981600000.0,283.22857,230.74,8.54878652731495
MCD.N,2022-07-26 07:00:00,2.55,2.46914,3.275,3.48258907959856,181633879864.48,5718400000.0,214337879864.48,29,2.05263,2.05128,3.092855,1188000000.0,279.77419,246.88,8.97525153129242
MCD.N,2022-04-28 07:00:00,2.28,2.16848,5.143,3.92717479524828,182875164850.4,5665600000.0,214528264850.4,32,2.05128,1.97436,2.325202,1104400000.0,280.79394,247.28,9.20594175793722
MCD.N,2022-01-27 07:00:00,2.23,2.336,-4.538,3.34931506849315,200314081615.89,6009100000.0,231227581615.89,31,1.97436,1.975,1.515266,1638800000.0,282.73235,268.07,10.2601378582668
MCD.N,2021-10-27 07:00:00,2.76,2.46078,12.16,2.56138297612952,180168344903.97,6201300000.0,210990544903.97,32,1.975,1.97368,1.527139,2149900000.0,270.44571,241.11,9.79961024
HD.N,2022-11-15 06:00:00,4.24,4.11822,2.957,1.06429476812798,305735902201.95,38872000000.0,346237902201.95,27,2.11111,2.08571,3.747421,4339000000.0,344.40625,275.94,2.07587059103331
HD.N,2022-08-16 06:00:00,5.05,4.94404,2.143,1.62802080889313,309292573449.24,43792000000.0,349061573449.24,27,2.08571,2.08333,3.092855,5173000000.0,356.51097,274.27,2.10178841175512
HD.N,2022-05-17 06:00:00,4.09,3.67635,11.252,2.1393501706856,310423052675.2,38908000000.0,349200052675.2,27,2.08333,2.08108,2.325202,4231000000.0,367.23677,299.33,2.29602566463373
HD.N,2022-02-22 06:00:00,3.21,3.17854,0.99,4.86764363512808,382755427937.58,35719000000.0,420498427937.58,28,2.08108,2.16216,1.515266,3352000000.0,394.29515,415.01,3.164887378
HD.N,2021-11-16 05:59:00,3.92,3.40137,15.248,3.86373725881042,392319041651.04,36820000000.0,426400041651.04,29,2.16216,2.10811,1.527139,4129000000.0,383.6875,328.26,2.61773393
SPG.N,2022-11-01 07:30:00,1.65,1.4375,14.783,6.98017391304348,30776479355.25,1215470000.0,55526882355.25,8,2.33333,2.27778,3.747421,621847000.0,123.375,89.75,10.8086876495517
SPG.N,2022-08-01 16:05:00,1.51,1.43,5.594,4.11748251748252,31072984337.64,1194700000.0,56139981337.64,7,2.27778,2.2,3.092855,569480000.0,128.2,94.92,10.981528104758
SPG.N,2022-05-09 16:05:00,1.3,1.29333,0.516,10.8672960497321,43235693558.2,1207867000.0,68622507558.2,8,2.2,2.21053,2.325202,488310000.0,162.94118,131.56,13.5053114489402
SPG.N,2022-02-07 16:05:00,1.53,1.44,6.25,7.43125,52502205512.51,1224913000.0,78025327512.51,9,2.21053,2.10526,1.515266,573730000.0,175.35294,159.77,15.997224448
SPG.N,2021-11-01 16:20:00,1.77,1.0875,62.759,2.78712643678161,42709592855.11,1207923000.0,68602005855.11,8,2.10526,2.31579,1.527139,778648000.0,155.08333,129.97,14.65483331
HBAN.OQ,2022-10-21 07:00:00,0.39,0.3835,1.695,3.18122555410691,19015237480.9,1910000000.0,30126237480.9,17,2.57895,2.68421,3.747421,597000000.0,15.05882,13.18,5.62166445774477
HBAN.OQ,2022-07-21 07:00:00,0.35,0.34094,2.657,4.02416847539156,17349597958.32,1752000000.0,28666597958.32,17,2.68421,2.42105,3.092855,541000000.0,14.82353,12.03,5.48673853405358
HBAN.OQ,2022-04-21 07:00:00,0.29,0.30435,-4.715,6.39066863808116,21040733514.58,1653000000.0,28688733514.58,17,2.42105,2.36842,2.325202,462000000.0,16.9375,14.62,6.83482069066572
HBAN.OQ,2022-01-21 07:00:00,0.26,0.32412,-19.783,20.8194495865729,22304432459.58,1653000000.0,30123432459.58,17,2.36842,2.22222,1.515266,402000000.0,18.46875,15.42,7.969753656
HBAN.OQ,2021-10-28 07:00:00,0.22,0.31765,-30.741,19.0587124193295,22362290909.54,1695000000.0,31252290909.54,18,2.22222,2.23529,1.527139,378000000.0,17.60938,15.46,8.750221295
QRVO.OQ,2022-11-02 16:00:00,2.66,2.5351,4.927,2.08039130606288,8195431228.2,1158057000.0,9331830228.2,22,2.7931,2.67857,3.747421,188615000.0,104.0375,79.41,2.05302910157938
QRVO.OQ,2022-08-03 16:00:00,2.25,2.12041,6.112,3.33661886144661,9694702659.53,1035358000.0,10883820659.53,22,2.67857,2.51724,3.092855,68884000.0,129.31364,94.32,2.35984514278752
QRVO.OQ,2022-05-04 16:00:00,3.12,2.925,6.667,1.47282051282051,13175526996.77,1166158000.0,14250032996.77,23,2.51724,2.42857,2.325202,212275000.0,163.45455,124.1,3.18846155770969
QRVO.OQ,2022-02-02 16:00:00,2.98,2.75878,8.019,0.656449590036176,17237810470.53,1113957000.0,18296234470.53,24,2.42857,2.18519,1.515266,216263000.0,198.375,156.39,3.933398263
QRVO.OQ,2021-11-03 16:01:00,3.42,3.25474,5.078,0.845228804758598,18811814690.76,1255248000.0,19404739690.76,24,2.18519,2.14815,1.527139,319189000.0,215.68,167.19,4.409262106
LVS.N,2022-10-19 16:10:00,-0.27,-0.2412,-11.94,-34.9212271973466,28671136159.12,1005000000.0,38009136159.12,12,2.06667,2.25,3.747421,-380000000.0,47.25,37.52,9.76437481420193
LVS.N,2022-07-20 16:05:00,-0.34,-0.28746,-18.277,-37.3756348709386,25666426785.17,1045000000.0,34617426785.17,12,2.25,2.35294,3.092855,-414000000.0,46.30769,33.59,8.63135563556143
LVS.N,2022-04-27 16:18:00,-0.4,-0.23439,-70.66,-36.562993301762,29696385598.62,943000000.0,38391385598.62,13,2.35294,2.35294,2.325202,-478000000.0,49.68571,38.87,10.1297556916911
LVS.N,2022-01-26 16:10:00,-0.22,-0.24464,10.072,-54.4677894048398,28756574265.28,1008000000.0,41949574265.28,13,2.35294,2.4375,1.515266,-315000000.0,50.75,37.64,9.897329466
LVS.N,2021-10-20 16:05:00,-0.45,-0.19682,-128.637,-43.7811198048979,27962024923.2,857000000.0,41180024923.2,12,2.4375,2.07143,1.527139,-594000000.0,51.71429,36.6,10.655358988
CTRA.N,2022-11-03 16:05:00,1.42,1.37209,3.492,3.71185563629208,20780946023.24,2520000000.0,22264946023.24,24,2.6,2.4,3.747421,1196000000.0,36.24,26.12,3.3052476784535
CTRA.N,2022-08-02 16:02:00,1.35,1.22736,9.992,11.9785555990093,20781715050.61,2572000000.0,22858715050.61,23,2.4,2.24,3.092855,1229000000.0,36.125,25.79,4.82415838044735
CTRA.N,2022-05-02 16:27:00,1.01,0.82971,21.729,17.2494003929084,21872098074.18,1679000000.0,23611098074.18,24,2.24,2.25,2.325202,608000000.0,35.83333,26.97,6.96784519402145
CTRA.N,2022-02-23 16:44:00,0.83,1.02232,-18.812,9.22411769309023,15457975141.0,2225000000.0,17617975141.0,25,2.25,2.21429,1.515266,938468000.0,27.64,19.0,9.710383719
CTRA.N,2021-11-03 06:30:00,0.52,0.78668,-33.899,94.8606803274521,8696692578.56,440396000.0,9566931578.56,25,2.21429,2.6087,1.527139,62714000.0,26.92,21.2527744,6.255759218
ON.OQ,2022-10-31 08:00:00,1.45,1.31289,10.443,1.82726656460176,27003624687.34,2192600000.0,27818024687.34,26,2.07143,2.07143,3.747421,311900000.0,73.992,62.33,3.73853727748549
ON.OQ,2022-08-01 08:00:00,1.34,1.2558,6.705,1.41583054626533,20352245254.92,2085000000.0,21829545254.92,26,2.07143,2.06667,3.092855,456600000.0,73.16667,50.31,3.2574002728728
ON.OQ,2022-05-02 08:00:00,1.22,1.04822,16.388,1.62275094922822,25900683879.11,1945000000.0,27504083879.11,27,2.06667,2.12903,2.325202,531000000.0,72.8,62.61,4.29671007124396
ON.OQ,2022-02-07 08:00:00,1.09,0.93789,16.218,3.61236392327458,29262221915.52,1846100000.0,31003221915.52,27,2.12903,2.13333,1.515266,426400000.0,70.53846,67.92,4.890729009
ON.OQ,2021-11-01 08:00:00,0.87,0.73896,17.733,2.68214788351196,19636574143.71,1742100000.0,21381574143.71,27,2.13333,2.11539,1.527139,310400000.0,60.51852,45.77,3.675743728
AIG.N,2022-11-01 16:16:00,0.66,0.53221,24.011,46.423404295297,35477056000.0,14602000000.0,91155056000.0,14,2.23529,2.42857,3.747421,3041000000.0,65.0,47.48,1.11073894107152
AIG.N,2022-08-08 16:16:00,1.19,1.0965,8.527,17.2868217054264,39436569000.0,14441000000.0,67461569000.0,12,2.42857,2.35294,3.092855,3393000000.0,66.0,51.13,1.30088500496153
AIG.N,2022-05-03 16:16:00,1.3,1.1814,10.039,13.6922295581513,50608160659.37,15808000000.0,80653160659.37,15,2.35294,2.35294,2.325202,4656000000.0,68.84615,62.77,1.57546844150393
AIG.N,2022-02-16 16:16:00,1.58,1.1892,32.862,6.70787083753784,47210721990.88,3565000000.0,78616721990.88,15,2.35294,2.2,1.515266,4106000000.0,64.84615,56.86,1.623278386
AIG.N,2021-11-04 16:16:00,0.97,0.8825,9.915,12.2923512747875,46942061766.93,12835000000.0,77074061766.93,14,2.2,2.375,1.527139,1737000000.0,60.41667,54.89,1.80358549
AIZ.N,2022-11-01 16:15:00,1.01,1.18,-14.407,39.7423728813559,7729718352.21,2547800000.0,8429218352.21,9,1.77778,1.77778,3.747421,7300000.0,184.33333,145.27,0.850388939744194
AIZ.N,2022-08-02 16:15:00,2.95,3.15875,-6.609,4.74206569054215,9348605559.45,2509700000.0,10295405559.45,8,1.77778,1.66667,3.092855,52200000.0,206.33333,172.85,1.006085478146
AIZ.N,2022-05-03 16:24:00,3.75,2.87,30.662,8.10418118466899,10493119099.32,2482700000.0,11445219099.32,8,1.66667,1.66667,2.325202,145500000.0,206.33333,181.83,1.03990254022654
AIZ.N,2022-02-08 16:15:00,2.47,2.3025,7.275,3.26992399565689,8880389864.74,2574900000.0,9042089864.74,8,1.66667,1.625,1.515266,124000000.0,192.83333,155.86,0.901939461363907
AIZ.N,2021-11-02 16:15:00,1.41,1.9,-25.79,34.1621052631579,9277844611.25,2637800000.0,9451844611.25,8,1.625,1.57143,1.527139,151000000.0,191.83333,157.75,0.928760058415993
CARR.N,2022-10-27 06:30:00,0.7,0.65262,7.26,3.48288437375502,29926707695.36,5451000000.0,36141707695.36,21,2.41667,2.41667,3.747421,1332000000.0,44.77778,35.56,1.75882332933576
CARR.N,2022-07-28 06:30:00,0.69,0.61576,12.057,3.53546836429778,30248300876.32,5211000000.0,36094300876.32,21,2.41667,2.33333,3.092855,587000000.0,44.99778,35.66,1.72764978978607
CARR.N,2022-04-28 07:54:00,0.54,0.46786,15.419,3.40486470311632,39127412420.91,4654000000.0,44413412420.91,21,2.33333,2.33333,2.325202,1387000000.0,51.61714,45.87,2.23952905549459
CARR.N,2022-02-08 06:30:00,0.44,0.38529,14.2,2.81606062965558,46811240621.28,5133000000.0,53847240621.28,21,2.33333,2.26087,1.515266,332000000.0,57.23619,54.24,2.697531166
CARR.N,2021-10-28 07:46:00,0.71,0.6557,8.281,2.81683696812567,44912224256.96,5341000000.0,52251224256.96,20,2.26087,2.0,1.527139,480000000.0,59.448,51.76,2.653723043
EVRG.OQ,2022-11-04 06:10:00,2.01,1.88389,6.694,2.68274686950937,14973457509.0,1909100000.0,26876257509.0,9,2.4,2.4,3.747421,196200000.0,65.66667,59.4,4.72109571835829
EVRG.OQ,2022-08-04 07:00:00,0.86,0.83389,3.131,2.87927664320234,15671990473.86,1446500000.0,27214790473.86,9,2.4,2.3,3.092855,123500000.0,71.77778,65.25,5.10055542904957
EVRG.OQ,2022-05-05 07:00:00,0.58,0.553,4.883,4.21518987341772,15732458247.0,1223900000.0,26915358247.0,9,2.3,2.33333,2.325202,54400000.0,75.0,68.34,4.80693262102136
EVRG.OQ,2022-02-25 07:00:00,0.16,0.165,-3.03,16.3212121212121,14262325399.2,1122100000.0,25015425399.2,8,2.33333,2.11111,1.515266,450500000.0,71.75,68.61,4.76444652761288
EVRG.OQ,2021-11-03 07:00:00,1.98,1.76,12.5,3.01988636363636,13854635145.86,1616500000.0,24796535145.86,9,2.11111,1.75,1.527139,186200000.0,69.625,62.2,4.61607395454296
COST.OQ,2022-09-22 16:15:00,4.2,4.16508,0.838,3.86427151459276,235576555537.18,72091000000.0,231089555537.18,26,2.08824,2.16216,3.747421,1878000000.0,573.0,472.27,0.939268815375474
COST.OQ,2022-05-26 16:15:00,3.17,3.03373,4.492,4.19219904210329,223101378614.4,52596000000.0,218399378614.4,28,2.16216,2.23684,3.092855,1372000000.0,571.92533,479.28,0.954321921672166
COST.OQ,2022-03-03 16:15:00,2.92,2.74268,6.465,5.73927691163388,226004235139.62,51904000000.0,220924235139.62,30,2.23684,2.21622,2.325202,1320000000.0,562.37613,575.85,1.1899528938702
COST.OQ,2021-12-09 16:15:00,2.98,2.63965,12.894,5.00369367150948,236700806740.38,50363000000.0,231227806740.38,27,2.21622,2.17143,1.515266,1345000000.0,534.53871,567.7,1.212619519
COST.OQ,2021-09-23 16:15:00,3.9,3.57281,9.158,3.75054928753558,199081394440.94,62675000000.0,194952394440.94,27,2.17143,2.11765,1.527139,1694000000.0,454.61379,449.35,1.047415729
MCO.N,2022-10-25 07:04:00,1.85,2.05606,-10.022,5.38457048918806,44537752000.0,1275000000.0,50443752000.0,16,2.35,2.3,3.747421,303000000.0,281.875,243.11,8.4914128686327
MCO.N,2022-07-26 07:23:00,2.22,2.30213,-3.568,5.61827524944291,49906495000.0,1381000000.0,56045495000.0,16,2.3,2.1579,3.092855,327000000.0,308.73333,271.97,9.12499918566775
MCO.N,2022-05-02 07:00:00,2.89,2.9025,-0.431,5.2916451335056,62252145000.0,1522000000.0,68373145000.0,16,2.1579,2.27778,2.325202,498000000.0,356.16,337.41,10.9282960759086
MCO.N,2022-02-10 07:00:00,2.33,2.38864,-2.455,4.59382744992967,72608822000.0,1539000000.0,78308822000.0,15,2.27778,2.27778,1.515266,427000000.0,419.89333,390.58,13.055925951
MCO.N,2021-10-28 07:00:00,2.69,2.53687,6.036,5.95063996184274,66014949000.0,1526000000.0,71336949000.0,15,2.27778,2.17647,1.527139,474000000.0,417.84667,355.11,12.013614244
DIS.N,2022-11-08 16:05:00,0.3,0.54865,-45.32,24.7790030073818,171969040104.41,20150000000.0,222093040104.41,23,1.96774,2.03125,3.747421,254000000.0,138.62214,94.33,2.76144847612273
DIS.N,2022-08-10 16:06:00,1.09,0.96335,13.147,15.7678932890434,175117446955.88,21504000000.0,227118446955.88,23,2.03125,2.05882,3.092855,1502000000.0,141.00276,94.4,2.92435875502193
DIS.N,2022-05-11 16:05:00,1.08,1.1865,-8.976,10.7357774968394,249426776896.0,20272000000.0,301554776896.0,24,2.05882,2.0,2.325202,597000000.0,180.43742,137.16,4.15321803914726
DIS.N,2022-02-09 16:07:00,1.06,0.629,68.522,31.7662957074722,281536729785.72,21819000000.0,334953729785.72,23,2.0,1.9375,1.515266,1200000000.0,191.442,154.89,4.953302231
DIS.N,2021-11-10 16:05:00,0.37,0.50883,-27.284,24.3696322936934,319832451985.95,18534000000.0,371950451985.95,25,1.9375,1.89655,1.527139,256000000.0,206.78138,169.17,5.677600699
PAYX.OQ,2022-09-28 08:30:00,1.03,0.96969,6.22,1.027132382514,44451736000.0,1206200000.0,44029836000.0,17,2.95,2.95,3.747421,379200000.0,127.65625,112.21,8.45165448785639
PAYX.OQ,2022-06-29 08:30:00,0.81,0.79477,1.916,3.1518552537212,44702630000.0,1144300000.0,44285130000.0,17,2.95,2.95,3.092855,296400000.0,132.08,113.87,8.99243813916293
PAYX.OQ,2022-03-30 08:30:00,1.15,1.04794,9.739,2.24726606485104,42980660000.0,1276000000.0,42433460000.0,18,2.95,3.05,2.325202,430700000.0,138.03125,136.47,11.3242088498026
PAYX.OQ,2021-12-22 08:30:00,0.91,0.79782,14.06,1.4790303577248,43002233208.0,1108500000.0,42796433208.0,18,3.05,2.95,1.515266,332100000.0,126.3125,136.5,11.319052036
PAYX.OQ,2021-09-30 08:30:00,0.89,0.80083,11.135,1.73320180312925,41276821664.39,1082900000.0,40939721664.39,18,2.95,2.95455,1.527139,333600000.0,112.85882,112.45,9.939170868
AMD.OQ,2022-11-01 16:15:00,0.67,0.68469,-2.146,12.2595627218157,109709248364.0,5565000000.0,106584248364.0,32,2.06977,2.13954,3.747421,62000000.0,95.95385,63.36,4.59160049239897
AMD.OQ,2022-08-02 16:05:00,1.05,1.0333,1.616,3.15881157456692,141113828280.32,6550000000.0,137898828280.32,30,2.13954,2.22727,3.092855,443000000.0,127.16216,76.47,6.31358547461751
AMD.OQ,2022-05-03 16:10:00,1.13,0.91,24.176,3.4978021978022,193884292542.24,5887000000.0,189139292542.24,32,2.22727,2.31707,2.325202,783000000.0,144.43421,109.34,10.5788646540392
AMD.OQ,2022-02-01 16:15:00,0.92,0.75807,21.361,2.66993813236245,176480191893.7,4826000000.0,173185191893.7,32,2.31707,2.275,1.515266,974000000.0,148.08639,143.9,11.47859847
